Well ID,Managing Agency,Type,Latitude,Longitude,Well Depth,
315245106380602,USGS,Discrete project site,31.87927107,-106.6355469,426.8,
315245106380603,USGS,Discrete project site,31.87942778,-106.6354444,40,
315318106384301,USGS,Discrete project site,31.88843742,-106.6462417,,
315336106582801,USGS,Discrete project site,31.89482353,-106.9908394,580,
315349106585701,USGS,Discrete project site,31.8984346,-106.9852836,580,
315401106363701,USGS,Discrete project site,31.90038164,-106.6108244,116,
315451106384401,USGS,Discrete project site,31.91413056,-106.645675,33.7,
315515106392801,USGS,Discrete project site,31.91926978,-106.658048,19.2,
315516106380101,USGS,Discrete project site,31.92107222,-106.6335194,35,
315537106384901,USGS,Discrete project site,31.927075,-106.6469861,34.5,
315554106365701,USGS,Discrete project site,31.93176956,-106.6166583,545,
315556106363101,USGS,Discrete project site,31.93204735,-106.6094359,200,
315622106391705,USGS,Discrete project site,31.93954696,-106.6552704,1765,
315627106363701,USGS,Discrete project site,31.94149151,-106.6113805,1013,
315639106380401,USGS,Discrete project site,31.94426911,-106.6349922,130,
315646106374401,USGS,Discrete project site,31.94573611,-106.6287472,80.5,
315646106374402,USGS,Discrete project site,31.94573611,-106.6287472,331,
315646106374403,USGS,Discrete project site,31.94573611,-106.6287472,911.5,
315646106374404,USGS,Discrete project site,31.94573611,-106.6287472,1321.5,
315646106374405,USGS,Discrete project site,31.94577222,-106.6288861,35,
315656106350701,USGS,Discrete project site,31.94888889,-106.5852778,300,
315656106350702,USGS,Discrete project site,31.94888889,-106.5852778,660,
315701106370401,USGS,Discrete project site,31.95018889,-106.6178167,35,
315717106364001,USGS,Discrete project site,31.9551022,-106.6116585,1072,
315720106415601,USGS,Discrete project site,31.95482411,-106.7002717,722,
315733106364401,USGS,Discrete project site,31.95926874,-106.6130474,202,
315749106382001,USGS,Discrete project site,31.96355556,-106.6388639,34,
315754106372401,USGS,Discrete project site,31.96508333,-106.6239,75.5,
315754106372402,USGS,Discrete project site,31.96508333,-106.6239,295,
315754106372403,USGS,Discrete project site,31.96508333,-106.6239,895,
315754106372404,USGS,Discrete project site,31.96508333,-106.6239,1275,
315754106372405,USGS,Discrete project site,31.96505278,-106.6238667,35,
315803106364501,USGS,Discrete project site,31.96732405,-106.6130476,1063,
315811106490401,USGS,Discrete project site,31.96972222,-106.8172222,510,
315814106394001,USGS,Discrete project site,31.97059444,-106.6611444,37,
315831106345401,USGS,Discrete project site,31.97564444,-106.5811306,500,
315856106382001,USGS,Discrete project site,31.98204574,-106.6388817,80,
315901106355001,USGS,Discrete project site,31.98371111,-106.5977694,264,
315902107005501,USGS,Discrete project site,31.98732108,-107.0152863,406,
315915106354701,USGS,Discrete project site,31.98774444,-106.5971333,336,
315918106391301,USGS,Discrete project site,31.98773611,-106.6548056,390,
315940106372301,USGS,Discrete project site,31.99444444,-106.6230556,90,
315940106372302,USGS,Discrete project site,31.99444444,-106.6230556,310,
315940106372303,USGS,Discrete project site,31.99444444,-106.6230556,810,
315940106372304,USGS,Discrete project site,31.99444444,-106.6230556,1310,
315940106372305,USGS,Discrete project site,31.99460833,-106.623,33,
